run_id,transform,condition,severity,accuracy,balanced_accuracy,f1,recall_sensitivity,specificity,ece,auroc,auprc
convnext_tiny_phash_e1,clean_resize,clean_resize,0.0,0.8269351793580868,0.8428550282529508,0.8226950354609929,0.7144456886898096,0.9712643678160919,0.04455854076730367,0.9565458032461933,0.9683515667055912
convnext_tiny_phash_e1,center_crop_zoom_1.05,center_crop,1.05,0.78980490874764,0.7958740394640306,0.7997601918465228,0.7469204927211646,0.8448275862068966,0.053373545170875926,0.8952710095120413,0.926180485515854
convnext_tiny_phash_e1,center_crop_zoom_1.15,center_crop,1.15,0.8074260541220893,0.8071140801379826,0.8253424657534246,0.8096304591265397,0.8045977011494253,0.04340178872674912,0.8873518168127583,0.916862254042038
convnext_tiny_phash_e1,center_crop_zoom_1.30,center_crop,1.3,0.788546255506608,0.7827097089752996,0.8151815181518152,0.8297872340425532,0.735632183908046,0.04853674391011462,0.8640350877192983,0.8942583459449346
convnext_tiny_phash_e1,low_contrast_0.75,low_contrast,0.75,0.775330396475771,0.7988441389607548,0.7529411764705882,0.6091825307950728,0.9885057471264368,0.10446425763212604,0.9531509441248021,0.9644609099429754
convnext_tiny_phash_e1,low_contrast_0.55,low_contrast,0.55,0.7123977344241661,0.7428530975273842,0.6602230483271375,0.49720044792833146,0.9885057471264368,0.18878199104213816,0.9418208029244057,0.9532228416956532
convnext_tiny_phash_e1,low_contrast_0.35,low_contrast,0.35,0.6022655758338578,0.6461366181410975,0.45233968804159447,0.29227323628219487,1.0,0.34890215075413644,0.8995507845181552,0.9174485203359011
convnext_tiny_phash_e1,high_contrast_1.25,high_contrast,1.25,0.8735053492762744,0.8817527126694211,0.8786964393482197,0.8152295632698768,0.9482758620689655,0.06991191138674566,0.958914159941306,0.9708026147768596
convnext_tiny_phash_e1,high_contrast_1.50,high_contrast,1.5,0.8967904342353682,0.8983489078529044,0.9060710194730813,0.8857782754759238,0.9109195402298851,0.11049371816527362,0.9600758131572512,0.9718738252439019
convnext_tiny_phash_e1,high_contrast_2.00,high_contrast,2.0,0.8810572687224669,0.8716727162734422,0.8995215311004785,0.9473684210526315,0.7959770114942529,0.11166363570527357,0.9621223822579192,0.9732403193349909
convnext_tiny_phash_e1,blur_radius_0.5,blur,0.5,0.8426683448709881,0.8568527886112934,0.8413705583756346,0.7424412094064949,0.9712643678160919,0.04427375073402255,0.956384909448971,0.9684374932647246
convnext_tiny_phash_e1,blur_radius_1.5,blur,1.5,0.8609188168659534,0.873090190626971,0.8623052959501558,0.77491601343785,0.9712643678160919,0.04958794274366807,0.9580710764438609,0.9701759122504028
convnext_tiny_phash_e1,blur_radius_3.0,blur,3.0,0.8508495909376966,0.8641316239976317,0.8508495909376966,0.7569988801791714,0.9712643678160919,0.029485193132191327,0.9600211092661955,0.9717849248075917
convnext_tiny_phash_e1,downsample_160,downsample,160.0,0.8477029578351164,0.8613320719259632,0.8472222222222222,0.7513997760358343,0.9712643678160919,0.04274917680997568,0.9562980267984708,0.9686811999044147
