run_id,method,temperature,platt_intercept,platt_coef,brier_score,ece,nll
resnet18_supervised_phash_10pct_e10,uncalibrated,,,,0.012759399483346827,0.017786435360629044,0.04918542159611648
resnet18_supervised_phash_10pct_e10,platt,,-1.5210104644171991,2.0561998662223777,0.0068832811935868815,0.010462891773984677,0.02868847643852294
resnet18_supervised_phash_10pct_e10,temperature,0.5728243444648591,,,0.012605057071541515,0.013033861330838807,0.046049526169657615
resnet18_supervised_phash_50pct_e5,uncalibrated,,,,0.004281142127703663,0.007317424802461366,0.022422306446174337
resnet18_supervised_phash_50pct_e5,platt,,3.816304059068249,2.5465773214170193,0.002734259925739516,0.00347471532232411,0.022327993204460675
resnet18_supervised_phash_50pct_e5,temperature,0.6839799818114822,,,0.003991007763415712,0.0033112863116345663,0.022312099460435934
simclr_resnet18_phash_e25_finetune_10pct_e10,uncalibrated,,,,0.023672153005433176,0.048633129107944664,0.1062559068963054
simclr_resnet18_phash_e25_finetune_10pct_e10,platt,,2.519325556533254,2.564849457370082,0.012304801913088914,0.01493720328583073,0.04952554527178571
simclr_resnet18_phash_e25_finetune_10pct_e10,temperature,0.6399708158669282,,,0.019868450776570686,0.012908060072510903,0.07523914379132515
simclr_resnet18_phash_e25_finetune_50pct_e10,uncalibrated,,,,0.021494407098356347,0.012315945700397148,0.07806170160406262
simclr_resnet18_phash_e25_finetune_50pct_e10,platt,,-5.37801175905739,2.6321175561902623,0.007198677483340385,0.007292355170756392,0.04115887706080624
simclr_resnet18_phash_e25_finetune_50pct_e10,temperature,0.625939601485837,,,0.021002653593035405,0.012123804278061024,0.07735618530820873
simclr_resnet18_phash_e25_finetune_50pct_e25,uncalibrated,,,,0.004913454355359347,0.0048938317399702,0.025182046345190605
simclr_resnet18_phash_e25_finetune_50pct_e25,platt,,2.56598176045243,1.9161947781639301,0.012836636880521037,0.01379258693671748,0.050155969468050864
simclr_resnet18_phash_e25_finetune_50pct_e25,temperature,0.6839799818114822,,,0.004449131433490782,0.0070960837371362795,0.026773819542145604
