run_id,objective,label_fraction,selected_threshold,default_accuracy,default_sensitivity,default_specificity,auroc,auprc,selected_accuracy,selected_accuracy_ci_low,selected_accuracy_ci_high,selected_accuracy_n,selected_sensitivity,selected_sensitivity_ci_low,selected_sensitivity_ci_high,selected_sensitivity_n,selected_specificity,selected_specificity_ci_low,selected_specificity_ci_high,selected_specificity_n
resnet18_supervised_phash_10pct_e1,balanced_accuracy,0.1,0.45796558260917664,0.9427312775330396,0.8980963045912654,1.0,0.9929914661929954,0.9956003950814118,0.9653870358716173,0.9552175448317416,0.9733116949872084,1589,0.9473684210526315,0.9307126334501776,0.9601916243362585,893,0.9885057471264368,0.9774839513864501,0.9941644902037613,696
resnet18_supervised_phash_10pct_e10,balanced_accuracy,0.1,0.7567132711410522,0.9855254877281309,0.9988801791713325,0.9683908045977011,0.9988737434194437,0.9994484161515635,0.9911894273127754,0.9852650111396637,0.9947445516442317,1589,0.9932810750279956,0.985419067079698,0.9969171671003402,893,0.9885057471264368,0.9774839513864501,0.9941644902037613,696
resnet18_supervised_phash_10pct_e5,balanced_accuracy,0.1,0.17829658091068268,0.9647577092511013,0.9372900335946248,1.0,0.9982076430989432,0.9988312373011817,0.9817495280050346,0.9739121000068909,0.9872631982776341,1589,0.9832026875699889,0.972471125937913,0.9897946743996272,893,0.9798850574712644,0.9665208093089491,0.9879808950767291,696
resnet18_supervised_phash_10pct_seed123_e1,balanced_accuracy,0.1,0.443881094455719,0.920704845814978,0.858902575587906,1.0,0.9740446126320939,0.9833156526497694,0.920704845814978,0.9063819956973184,0.9329983921579462,1589,0.896976483762598,0.8753079157208516,0.9152441728530949,893,0.9511494252873564,0.932511703224666,0.964834210479235,696
resnet18_supervised_phash_10pct_seed7_e1,balanced_accuracy,0.1,0.5160716772079468,0.9175582127123977,0.8712206047032475,0.9770114942528736,0.9626887284241418,0.9767865896373289,0.9238514789175583,0.9097634719076421,0.9358950041140793,1589,0.8689809630459127,0.8452603216395886,0.8895405618163081,893,0.9942528735632183,0.9853167113383577,0.9977628883882089,696
resnet18_supervised_phash_25pct_e1,balanced_accuracy,0.05,0.2481936663389206,0.9320327249842668,0.8790593505039194,1.0,0.9937283597842735,0.9957670157480646,0.9546884833228445,0.943318958476164,0.9638647815768332,1589,0.93505039193729,0.9169506935173167,0.9494230340171775,893,0.9798850574712644,0.9665208093089491,0.9879808950767291,696
resnet18_supervised_phash_25pct_seed123_e1,balanced_accuracy,0.05,0.16819089651107788,0.933291378225299,0.8812989921612542,1.0,0.9962125600133863,0.9974274695249905,0.9786028949024543,0.9702490556334317,0.9846481544846365,1589,0.9798432250839866,0.9683631064508401,0.987212549272534,893,0.9770114942528736,0.9629849624237918,0.9858011628937087,696
resnet18_supervised_phash_25pct_seed7_e1,balanced_accuracy,0.05,0.356366366147995,0.9427312775330396,0.8980963045912654,1.0,0.9876079597379362,0.9918038379519636,0.9295154185022027,0.9158666205344096,0.9410924141869338,1589,0.9462486002239642,0.9294535299064488,0.9592206796752654,893,0.9080459770114943,0.88428030687871,0.9273319208025252,696
resnet18_supervised_phash_50pct_e1,balanced_accuracy,0.5,0.32423946261405945,0.9842668344870988,0.9720044792833147,1.0,0.9991536986266104,0.9995068267121342,0.9899307740717432,0.9837056991660745,0.993792628351238,1589,0.9820828667413214,0.9710939357909959,0.9889418163418221,893,1.0,0.994510757862922,0.9999999999999998,696
resnet18_supervised_phash_50pct_e10,balanced_accuracy,0.5,0.3283214271068573,0.9905601006922593,0.9966405375139977,0.9827586206896551,0.9990796874798883,0.9994285297662308,0.9905601006922593,0.984482901523388,0.994271043627216,1589,0.9966405375139977,0.9901695220913033,0.9988568567029005,893,0.9827586206896551,0.9701070051673665,0.9901102782864893,696
