run_id,split,n,positive_n,negative_n,brier_score,ece,mean_probability,positive_prevalence
byol_resnet18_phash_e25_finetune_10pct_e10,test,1589,893,696,0.025808384435433665,0.07905544463223896,0.6064519387786497,0.5619886721208307
byol_resnet18_phash_e25_finetune_10pct_seed123_e10,test,1589,893,696,0.041602697868162404,0.04860846889178902,0.5450343364413623,0.5619886721208307
byol_resnet18_phash_e25_finetune_10pct_seed7_e10,test,1589,893,696,0.04625872870753726,0.07140075991866802,0.6394835510616448,0.5619886721208307
byol_resnet18_phash_e25_finetune_50pct_e10,test,1589,893,696,0.012009088487071615,0.027604498972857258,0.5911755860370541,0.5619886721208307
byol_resnet18_phash_e25_finetune_50pct_seed123_e10,test,1589,893,696,0.03586145920084956,0.036569198990877176,0.6369316001487761,0.5619886721208307
byol_resnet18_phash_e25_finetune_50pct_seed7_e10,test,1589,893,696,0.012475954231953629,0.037805058174315925,0.5843705787801677,0.5619886721208307
resnet18_supervised_phash_10pct_e10,test,1589,893,696,0.012759399483346827,0.017786435360629044,0.5793825096539926,0.5619886721208307
resnet18_supervised_phash_10pct_seed123_e10,test,1589,893,696,0.013108578079986258,0.02263179484423949,0.5785533010207504,0.5619886721208307
resnet18_supervised_phash_10pct_seed7_e10,test,1589,893,696,0.0207954550038412,0.020998188993328643,0.5808635809829651,0.5619886721208307
resnet18_supervised_phash_50pct_e10,test,1589,893,696,0.005486993800422322,0.006757242307779811,0.567178768352124,0.5619886721208307
resnet18_supervised_phash_50pct_e5,test,1589,893,696,0.004281142127703663,0.007317424802461366,0.5549578436062508,0.5619886721208307
resnet18_supervised_phash_50pct_seed123_e10,test,1589,893,696,0.002008881465038016,0.0007193648753494907,0.5613989467101843,0.5619886721208307
resnet18_supervised_phash_50pct_seed7_e10,test,1589,893,696,0.006385161356312149,0.0055095723131299654,0.5683694963672608,0.5619886721208307
simclr_resnet18_phash_e25_finetune_10pct_e10,test,1589,893,696,0.023672153005433176,0.048633129107944664,0.5425418556543024,0.5619886721208307
simclr_resnet18_phash_e25_finetune_10pct_seed123_e10,test,1589,893,696,0.022777674684620507,0.05371872975231343,0.5664430826930522,0.5619886721208307
simclr_resnet18_phash_e25_finetune_10pct_seed7_e10,test,1589,893,696,0.026981392871885602,0.06488018483304481,0.6046797810775879,0.5619886721208307
simclr_resnet18_phash_e25_finetune_50pct_e10,test,1589,893,696,0.021494407098356347,0.012315945700397148,0.6061036353415058,0.5619886721208307
simclr_resnet18_phash_e25_finetune_50pct_e25,test,1589,893,696,0.004913454355354854,0.004893828936989161,0.563724248162904,0.5619886721208307
simclr_resnet18_phash_e25_finetune_50pct_seed123_e10,test,1589,893,696,0.023327771922001216,0.019948732718691783,0.6090333202644889,0.5619886721208307
simclr_resnet18_phash_e25_finetune_50pct_seed7_e10,test,1589,893,696,0.020962149711248632,0.038370579784727805,0.6137788105788866,0.5619886721208307
